joannezhao, 57467, Tue May 27 13:48:43 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 0
[Avatar 0] Turn 0: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (90, 98) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 2: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 3: (90, 97) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 4: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 5: (90, 96) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 6: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (90, 96) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 8: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (90, 96) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 10: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (91, 96) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 12: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (91, 96) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 14: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 15: (92, 96) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 16: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (92, 95) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 18: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (92, 95) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 20: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (91, 95) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 22: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 23: (91, 94) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 24: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (91, 93) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 26: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 27: (91, 93) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 28: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 29: (91, 93) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 30: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (92, 93) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 32: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 33: (92, 93) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 34: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 35: (92, 93) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 36: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (92, 94) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 38: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 39: (93, 94) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 40: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 41: (93, 93) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 42: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 43: (93, 92) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 44: (85, 19) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 45: (93, 92) AM_AVATAR_MOVE Direction: WEST
