joannezhao, 42146, Tue May 27 10:58:18 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 0
[Avatar 0] Turn 0: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (31, 32) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (14, 18) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 3: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 4: (30, 32) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 5: (14, 19) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 6: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (30, 32) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 8: (14, 20) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 9: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 10: (30, 33) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 11: (14, 21) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 12: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (29, 33) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 14: (14, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 15: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 16: (28, 33) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 17: (14, 21) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 18: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (28, 33) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 20: (14, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 21: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 22: (28, 34) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 23: (14, 20) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 24: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (27, 34) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 26: (15, 20) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 27: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 28: (27, 34) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 29: (15, 21) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 30: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (27, 33) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 32: (15, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 33: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 34: (27, 33) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 35: (16, 21) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 36: (21, 33) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (27, 32) AM_AVATAR_MOVE Direction: WEST
