joannezhao, 38824, Wed May 28 21:18:05 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 6
Sent AM_AVATAR_READY signal with AvatarID: 5

Sent AM_AVATAR_READY signal with AvatarID: 9
Sent AM_AVATAR_READY signal with AvatarID: 7

Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 4Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 8
[Avatar 0] Turn 0: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 2: (9, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 3: (9, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (9, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 5: (3, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 6: (5, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 7: (6, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 8] Turn 8: (10, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 9] Turn 9: (11, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 10: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (3, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 12: (9, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 13: (8, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 14: (9, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 15: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 16: (5, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 17: (6, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 8] Turn 18: (10, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 9] Turn 19: (11, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 20: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (3, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 22: (9, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 23: (7, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 24: (9, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 25: (3, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 26: (5, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 27: (6, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 28: (10, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 9] Turn 29: (11, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 30: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 32: (9, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 1] Turn 31: (3, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 33: (7, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 34: (9, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 35: (3, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 36: (4, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 37: (5, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 8] Turn 38: (10, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 9] Turn 39: (11, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 40: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 41: (3, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 42: (9, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 43: (7, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 44: (10, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 45: (3, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 46: (4, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 47: (5, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 8] Turn 48: (9, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 9] Turn 49: (11, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 50: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 51: (3, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 52: (9, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 53: (7, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 54: (10, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 55: (3, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 56: (4, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 57: (5, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 58: (9, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 9] Turn 59: (11, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 60: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 61: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 62: (9, 2) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 63: (6, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 64: (10, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 65: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 66: (4, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 67: (5, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 8] Turn 68: (9, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 9] Turn 69: (11, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 70: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 71: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 72: (10, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 73: (6, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 74: (10, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 75: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 76: (3, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 77: (5, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 8] Turn 78: (9, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 9] Turn 79: (11, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 80: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 82: (10, 3) AM_AVATAR_MOVE Direction: EAST

[Avatar 3] Turn 83: (6, 8) AM_AVATAR_MOVE Direction: WEST[Avatar 1] Turn 81: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 84: (11, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 86: (3, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 85: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 7] Turn 87: (5, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 88: (9, 1) AM_AVATAR_MOVE Direction: EAST
[Avatar 9] Turn 89: (11, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 90: (4, 9) AM_AVATAR_MOVE Direction: NULL


[Avatar 3] Turn 93: (5, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 94: (11, 9) AM_AVATAR_MOVE Direction: WEST[Avatar 1] Turn 91: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 95: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 2] Turn 92: (11, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 96: (3, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 97: (5, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 8] Turn 98: (9, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 9] Turn 99: (11, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 102: (11, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 105: (4, 9) AM_AVATAR_MOVE Direction: NULL


[Avatar 1] Turn 101: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 0] Turn 100: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 104: (10, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 103: (4, 8) AM_AVATAR_MOVE Direction: SOUTH

[Avatar 6] Turn 106: (2, 4) AM_AVATAR_MOVE Direction: SOUTH[Avatar 8] Turn 108: (9, 1) AM_AVATAR_MOVE Direction: SOUTH[Avatar 7] Turn 107: (5, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 9] Turn 109: (11, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 110: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 2] Turn 112: (11, 5) AM_AVATAR_MOVE Direction: SOUTH[Avatar 1] Turn 111: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 4] Turn 114: (9, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 118: (9, 2) AM_AVATAR_MOVE Direction: SOUTH

[Avatar 6] Turn 116: (2, 4) AM_AVATAR_MOVE Direction: WEST[Avatar 5] Turn 115: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 7] Turn 117: (4, 5) AM_AVATAR_MOVE Direction: SOUTH[Avatar 3] Turn 113: (4, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 9] Turn 119: (11, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 120: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 121: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 122: (11, 6) AM_AVATAR_MOVE Direction: SOUTH



[Avatar 8] Turn 128: (9, 3) AM_AVATAR_MOVE Direction: NORTH[Avatar 3] Turn 123: (4, 8) AM_AVATAR_MOVE Direction: NORTH[Avatar 4] Turn 124: (8, 9) AM_AVATAR_MOVE Direction: WEST[Avatar 7] Turn 127: (4, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 125: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 126: (2, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 9] Turn 129: (11, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 1] Turn 131: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 7] Turn 137: (3, 5) AM_AVATAR_MOVE Direction: SOUTH


[Avatar 4] Turn 134: (8, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 132: (11, 7) AM_AVATAR_MOVE Direction: NORTH[Avatar 0] Turn 130: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 136: (2, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 133: (4, 7) AM_AVATAR_MOVE Direction: WEST[Avatar 8] Turn 138: (9, 2) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 135: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 9] Turn 139: (11, 5) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 140: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 142: (11, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 1] Turn 141: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 143: (4, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 144: (8, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 145: (4, 9) AM_AVATAR_MOVE Direction: NULL
