joannezhao, 33298, Wed May 28 20:53:37 EDT 2014



Sent AM_AVATAR_READY signal with AvatarID: 0Sent AM_AVATAR_READY signal with AvatarID: 3


Sent AM_AVATAR_READY signal with AvatarID: 4

Sent AM_AVATAR_READY signal with AvatarID: 6
Sent AM_AVATAR_READY signal with AvatarID: 7Sent AM_AVATAR_READY signal with AvatarID: 2Sent AM_AVATAR_READY signal with AvatarID: 9
Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 8
[Avatar 0] Turn 0: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (18, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (16, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (13, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 6: (13, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 9] Turn 9: (8, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 5] Turn 5: (3, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 8: (7, 6) AM_AVATAR_MOVE Direction: SOUTH[Avatar 7] Turn 7: (10, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 10: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 12: (17, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 13: (15, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 14: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 17: (10, 14) AM_AVATAR_MOVE Direction: WEST

[Avatar 6] Turn 16: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 15: (2, 13) AM_AVATAR_MOVE Direction: WEST[Avatar 8] Turn 18: (7, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 9] Turn 19: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 20: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 22: (17, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 23: (15, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 24: (12, 9) AM_AVATAR_MOVE Direction: WEST
