joannezhao, 60504, Wed May 28 20:54:11 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 0
[Avatar 0] Turn 0: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (15, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 2: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 3: (15, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 4: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 5: (15, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 6: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (16, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 8: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (16, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 10: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (17, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 12: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (17, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 14: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 15: (17, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 16: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (17, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 18: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (16, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 20: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (16, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 22: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 23: (16, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 24: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (16, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 26: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 27: (16, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 28: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 29: (16, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 30: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (17, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 32: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 33: (17, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 34: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 35: (16, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 36: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (16, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 38: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 39: (16, 10) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 40: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 41: (16, 10) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 42: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 43: (16, 11) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 44: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 45: (16, 11) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 46: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 47: (16, 11) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 48: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 49: (17, 11) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 50: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 51: (17, 11) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 52: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 53: (17, 11) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 54: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 55: (18, 11) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 56: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 57: (18, 11) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 58: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 59: (18, 11) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 60: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 61: (19, 11) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 62: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 63: (19, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 64: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 65: (18, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 66: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 67: (17, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 68: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 69: (17, 12) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 70: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 71: (17, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 72: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 73: (16, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 74: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 75: (16, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 76: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 77: (16, 13) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 78: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 79: (16, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 80: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 81: (16, 14) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 82: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 83: (16, 14) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 84: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 85: (17, 14) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 86: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 87: (17, 14) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 88: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 89: (18, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 90: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 91: (18, 14) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 92: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 93: (18, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 94: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 95: (18, 15) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 96: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 97: (18, 16) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 98: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 99: (19, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 100: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 101: (19, 16) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 102: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 103: (19, 16) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 104: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 105: (19, 17) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 106: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 107: (19, 17) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 108: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 109: (19, 17) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 110: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 111: (19, 18) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 112: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 113: (19, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 114: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 115: (19, 18) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 116: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 117: (19, 19) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 118: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 119: (19, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 120: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 121: (18, 19) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 122: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 123: (18, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 124: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 125: (17, 19) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 126: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 127: (17, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 128: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 129: (16, 19) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 130: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 131: (16, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 132: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 133: (16, 17) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 134: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 135: (16, 17) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 136: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 137: (16, 16) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 138: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 139: (16, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 140: (21, 12) AM_AVATAR_MOVE Direction: NULL
