joannezhao, 48251, Wed May 28 20:49:57 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0

Sent AM_AVATAR_READY signal with AvatarID: 2Sent AM_AVATAR_READY signal with AvatarID: 1
[Avatar 0] Turn 0: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (18, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 3: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 4: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 5: (17, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 6: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 8: (17, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 9: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 10: (12, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 11: (17, 18) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 12: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (12, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 14: (17, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 15: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 16: (13, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 17: (16, 19) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 18: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (13, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 20: (16, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 21: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 22: (13, 10) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 23: (16, 17) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 24: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (12, 10) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 26: (16, 17) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 27: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 28: (12, 10) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 29: (16, 17) AM_AVATAR_MOVE Direction: EAST
