joannezhao, 54036, Wed May 28 20:50:28 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 3

Sent AM_AVATAR_READY signal with AvatarID: 0Sent AM_AVATAR_READY signal with AvatarID: 1
[Avatar 0] Turn 0: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (18, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (16, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 4: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 5: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 6: (17, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 7: (15, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 8: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 10: (17, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 11: (15, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 12: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (12, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 14: (17, 18) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 15: (15, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 16: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (12, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 18: (17, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 19: (14, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 20: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (13, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 22: (16, 19) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 23: (14, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 24: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (13, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 26: (16, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 27: (14, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 28: (8, 9) AM_AVATAR_MOVE Direction: NULL
