joannezhao, 46208, Wed May 28 20:56:32 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 3
[Avatar 0] Turn 0: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (15, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 2: (5, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (0, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 4: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 5: (15, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 6: (4, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 7: (0, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 8: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (15, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 10: (3, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 11: (0, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 12: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (16, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 14: (3, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 15: (0, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 16: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (16, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 18: (3, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 19: (0, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 20: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (17, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 22: (2, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 23: (1, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 24: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (17, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 26: (2, 22) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 27: (1, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 28: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 29: (17, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 30: (2, 21) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 31: (1, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 32: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 33: (17, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 34: (2, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 35: (2, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 36: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (16, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 38: (2, 20) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 39: (2, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 40: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 41: (16, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 42: (1, 20) AM_AVATAR_MOVE Direction: WEST
