joannezhao, 48254, Wed May 28 20:49:02 EDT 2014



Sent AM_AVATAR_READY signal with AvatarID: 0Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 4
Sent AM_AVATAR_READY signal with AvatarID: 3
[Avatar 0] Turn 0: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 2: (9, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 3: (9, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (9, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 5: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 6: (3, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 7: (9, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 8: (8, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 9: (9, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 10: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (3, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 12: (9, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 13: (7, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 14: (9, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 15: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 16: (3, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 17: (9, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 18: (7, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 19: (9, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 20: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (3, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 22: (9, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 23: (7, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 24: (10, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 25: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 26: (3, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 27: (9, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 28: (7, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 29: (10, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 30: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 32: (9, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 33: (6, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 34: (10, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 35: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 1] Turn 36: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 2] Turn 37: (9, 2) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 38: (6, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 39: (10, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 40: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 43: (6, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 1] Turn 41: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 42: (10, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 44: (11, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 45: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 46: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 47: (10, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 48: (5, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 49: (11, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 50: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 52: (10, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 1] Turn 51: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 53: (4, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 54: (10, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 55: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 58: (4, 8) AM_AVATAR_MOVE Direction: WEST

[Avatar 1] Turn 56: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 2] Turn 57: (11, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 59: (9, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 60: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 62: (11, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 1] Turn 61: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 63: (4, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 64: (8, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 65: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 68: (4, 7) AM_AVATAR_MOVE Direction: EAST

[Avatar 1] Turn 66: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 2] Turn 67: (11, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 69: (8, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 70: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 3] Turn 73: (4, 7) AM_AVATAR_MOVE Direction: WEST[Avatar 1] Turn 71: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 72: (11, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 74: (8, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 75: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 1] Turn 76: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 78: (4, 7) AM_AVATAR_MOVE Direction: NORTH[Avatar 2] Turn 77: (11, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 79: (8, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 80: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 82: (11, 6) AM_AVATAR_MOVE Direction: WEST

[Avatar 3] Turn 83: (4, 6) AM_AVATAR_MOVE Direction: EAST[Avatar 1] Turn 81: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 84: (9, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 1] Turn 86: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 88: (4, 6) AM_AVATAR_MOVE Direction: WEST

[Avatar 2] Turn 87: (11, 6) AM_AVATAR_MOVE Direction: SOUTH[Avatar 0] Turn 85: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 89: (9, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 90: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 91: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 92: (11, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 93: (3, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 94: (8, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 95: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 96: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 97: (11, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 98: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 99: (8, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 100: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 101: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 102: (11, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 103: (3, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 104: (8, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 105: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 106: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 108: (3, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 107: (11, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 109: (8, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 110: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 112: (11, 6) AM_AVATAR_MOVE Direction: EAST

[Avatar 3] Turn 113: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 1] Turn 111: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 114: (8, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 115: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 117: (11, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 1] Turn 116: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 118: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 119: (8, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 1] Turn 121: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 120: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 3] Turn 123: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 2] Turn 122: (11, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 124: (8, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 125: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 127: (11, 5) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 128: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 126: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 129: (9, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 130: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 131: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 133: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 132: (11, 4) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 134: (9, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 135: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 137: (11, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 138: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 136: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 139: (8, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 140: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 141: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 142: (11, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 143: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 144: (7, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 145: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 146: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 148: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 147: (11, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 149: (7, 6) AM_AVATAR_MOVE Direction: SOUTH
