joannezhao, 48942, Wed May 28 20:50:57 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 4

Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 3
[Avatar 0] Turn 0: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (18, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (16, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (13, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 5: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 6: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 7: (17, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 8: (15, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 9: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 10: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 12: (17, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 13: (15, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 14: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 15: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 16: (12, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 17: (17, 18) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 18: (15, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 19: (12, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 20: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (12, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 22: (17, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 23: (14, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 24: (12, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 25: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 26: (13, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 27: (16, 19) AM_AVATAR_MOVE Direction: NORTH
