joannezhao, 34715, Wed May 28 20:58:05 EDT 2014



Sent AM_AVATAR_READY signal with AvatarID: 2Sent AM_AVATAR_READY signal with AvatarID: 1

Sent AM_AVATAR_READY signal with AvatarID: 4
Sent AM_AVATAR_READY signal with AvatarID: 0Sent AM_AVATAR_READY signal with AvatarID: 3
[Avatar 0] Turn 0: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (15, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 2: (5, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (0, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (16, 16) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 5: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 6: (15, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 7: (4, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 8: (0, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 9: (16, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 10: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (15, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 12: (3, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 13: (0, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 14: (16, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 15: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 16: (16, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 17: (3, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 18: (0, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 19: (15, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 20: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (16, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 22: (3, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 23: (0, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 24: (15, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 25: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 26: (17, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 27: (2, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 28: (1, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 29: (15, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 30: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (17, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 32: (2, 22) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 33: (1, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 34: (14, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 35: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 36: (17, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 37: (2, 21) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 38: (1, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 39: (14, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 40: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 41: (17, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 42: (2, 21) AM_AVATAR_MOVE Direction: NORTH
