joannezhao, 57146, Wed May 28 20:49:06 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 4
Sent AM_AVATAR_READY signal with AvatarID: 5

Sent AM_AVATAR_READY signal with AvatarID: 0Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 3
[Avatar 0] Turn 0: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 2: (9, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 3: (9, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (9, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 5: (3, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 6: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (3, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 8: (9, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 9: (8, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 10: (9, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 11: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 12: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (3, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 14: (9, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 15: (7, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 16: (9, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 17: (3, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 18: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (3, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 20: (9, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 21: (7, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 22: (9, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 23: (3, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 24: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (3, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 26: (9, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 27: (7, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 28: (10, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 29: (3, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 30: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (3, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 32: (9, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 33: (7, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 34: (10, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 35: (3, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 36: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 38: (9, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 39: (6, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 40: (10, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 41: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 42: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 2] Turn 44: (9, 2) AM_AVATAR_MOVE Direction: EAST[Avatar 1] Turn 43: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 46: (10, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 45: (6, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 47: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 48: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 49: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 51: (6, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 52: (11, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 50: (10, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 53: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 55: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 0] Turn 54: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 2] Turn 56: (10, 3) AM_AVATAR_MOVE Direction: SOUTH

[Avatar 3] Turn 57: (5, 8) AM_AVATAR_MOVE Direction: WEST[Avatar 4] Turn 58: (11, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 59: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 60: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 64: (10, 9) AM_AVATAR_MOVE Direction: WEST

[Avatar 1] Turn 61: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 2] Turn 62: (10, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 63: (4, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 65: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 66: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 3] Turn 69: (4, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 68: (11, 3) AM_AVATAR_MOVE Direction: SOUTH[Avatar 1] Turn 67: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 70: (9, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 71: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 72: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 3] Turn 75: (4, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 76: (8, 9) AM_AVATAR_MOVE Direction: WEST[Avatar 1] Turn 73: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 74: (11, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 77: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 78: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 81: (4, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 1] Turn 79: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 2] Turn 80: (11, 4) AM_AVATAR_MOVE Direction: SOUTH[Avatar 4] Turn 82: (8, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 83: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 84: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 85: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 86: (11, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 87: (4, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 88: (8, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 89: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 90: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 92: (11, 5) AM_AVATAR_MOVE Direction: SOUTH

[Avatar 3] Turn 93: (4, 7) AM_AVATAR_MOVE Direction: NORTH[Avatar 1] Turn 91: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 94: (8, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 95: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 96: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 98: (11, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 100: (9, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 99: (4, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 1] Turn 97: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 101: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 102: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 3] Turn 105: (4, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 106: (9, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 1] Turn 103: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 2] Turn 104: (11, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 107: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 108: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 109: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 110: (11, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 111: (3, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 112: (8, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 113: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 114: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 115: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 116: (11, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 117: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 118: (8, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 119: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 120: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 123: (3, 8) AM_AVATAR_MOVE Direction: SOUTH

[Avatar 2] Turn 122: (11, 7) AM_AVATAR_MOVE Direction: EAST[Avatar 1] Turn 121: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 124: (8, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 125: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 126: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 2] Turn 128: (11, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 129: (3, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 130: (8, 7) AM_AVATAR_MOVE Direction: NORTH[Avatar 1] Turn 127: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 131: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 132: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 136: (8, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 135: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 1] Turn 133: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 2] Turn 134: (11, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 137: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 138: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 140: (11, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 142: (8, 6) AM_AVATAR_MOVE Direction: NORTH

[Avatar 3] Turn 141: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 1] Turn 139: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 143: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 144: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 145: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 146: (11, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 147: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 148: (8, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 149: (4, 9) AM_AVATAR_MOVE Direction: NULL
