joannezhao, 52489, Wed May 28 20:51:27 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0

Sent AM_AVATAR_READY signal with AvatarID: 4Sent AM_AVATAR_READY signal with AvatarID: 1

Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 3Sent AM_AVATAR_READY signal with AvatarID: 2
[Avatar 0] Turn 0: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (18, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (16, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (13, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 5: (3, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 6: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 8: (17, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 9: (15, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 10: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 11: (2, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 12: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 14: (17, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 15: (15, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 16: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 17: (2, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 18: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (12, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 20: (17, 18) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 21: (15, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 22: (12, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 23: (2, 13) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 24: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (12, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 26: (17, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 27: (14, 9) AM_AVATAR_MOVE Direction: WEST
