joannezhao, 36308, Wed May 28 20:59:50 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0

Sent AM_AVATAR_READY signal with AvatarID: 4
Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 5
[Avatar 0] Turn 0: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (15, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 2: (5, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (0, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (16, 16) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 5: (2, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 6: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (15, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 10: (16, 16) AM_AVATAR_MOVE Direction: NORTH

[Avatar 2] Turn 8: (4, 23) AM_AVATAR_MOVE Direction: WEST[Avatar 3] Turn 9: (0, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 11: (1, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 12: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 16: (16, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 15: (0, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 1] Turn 13: (15, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 14: (3, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 17: (1, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 18: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (16, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 20: (3, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 21: (0, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 22: (15, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 23: (1, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 24: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (16, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 26: (3, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 27: (0, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 28: (15, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 29: (1, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 30: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (17, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 32: (2, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 34: (15, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 33: (1, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 35: (2, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 36: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (17, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 38: (2, 22) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 39: (1, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 40: (14, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 41: (2, 7) AM_AVATAR_MOVE Direction: WEST
