joannezhao, 47720, Wed May 28 21:13:33 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 2


Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 3Sent AM_AVATAR_READY signal with AvatarID: 6
Sent AM_AVATAR_READY signal with AvatarID: 4

[Avatar 1] Turn 1: (2, 5) AM_AVATAR_MOVE Direction: NORTH[Avatar 0] Turn 0: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 2: (4, 4) AM_AVATAR_MOVE Direction: NORTH[Avatar 3] Turn 3: (3, 0) AM_AVATAR_MOVE Direction: WEST

[Avatar 5] Turn 5: (2, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 6: (4, 3) AM_AVATAR_MOVE Direction: NORTH[Avatar 4] Turn 4: (2, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 7: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 8: (2, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 9: (4, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 10: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 11: (2, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 12: (2, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 13: (4, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 14: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 16: (4, 4) AM_AVATAR_MOVE Direction: EAST
[Avatar 1] Turn 15: (2, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 17: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 18: (2, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 19: (2, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 20: (3, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 21: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 22: (1, 5) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 23: (5, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 24: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 25: (1, 5) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 26: (2, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 27: (3, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 28: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 30: (5, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 1] Turn 29: (1, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 31: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 32: (1, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 33: (1, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 34: (3, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 35: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 36: (1, 5) AM_AVATAR_MOVE Direction: SOUTH
