joannezhao, 47236, Wed May 28 20:49:10 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 4
Sent AM_AVATAR_READY signal with AvatarID: 0

Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 6Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 5
[Avatar 0] Turn 0: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 2: (9, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 3: (9, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (9, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 5: (3, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 6: (5, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 7: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 8: (3, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 9: (9, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 10: (8, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 11: (9, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 12: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 13: (5, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 14: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 15: (3, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 16: (9, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 17: (7, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 18: (9, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 19: (3, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 20: (5, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 21: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 22: (3, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 23: (9, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 24: (7, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 25: (9, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 26: (3, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 27: (4, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 28: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 29: (3, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 30: (9, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 31: (7, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 32: (10, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 33: (3, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 34: (4, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 35: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 36: (3, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 37: (9, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 38: (7, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 39: (10, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 40: (3, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 41: (4, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 42: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 43: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 44: (9, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 45: (6, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 46: (10, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 47: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 48: (4, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 49: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 50: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 2] Turn 51: (9, 2) AM_AVATAR_MOVE Direction: EAST[Avatar 3] Turn 52: (6, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 53: (10, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 54: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 55: (3, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 56: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 59: (6, 8) AM_AVATAR_MOVE Direction: WEST

[Avatar 2] Turn 58: (10, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 60: (11, 8) AM_AVATAR_MOVE Direction: SOUTH[Avatar 1] Turn 57: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 61: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 62: (3, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 63: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 64: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 67: (11, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 66: (5, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 65: (10, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 68: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 69: (3, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 70: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 74: (10, 9) AM_AVATAR_MOVE Direction: WEST

[Avatar 2] Turn 72: (10, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 1] Turn 71: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 73: (4, 8) AM_AVATAR_MOVE Direction: SOUTH[Avatar 5] Turn 75: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 76: (2, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 77: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 81: (9, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 80: (4, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 79: (11, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 82: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 78: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 83: (2, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 1] Turn 85: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 88: (8, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 86: (11, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 87: (4, 8) AM_AVATAR_MOVE Direction: NORTH

[Avatar 0] Turn 84: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 5] Turn 89: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 90: (2, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 91: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 4] Turn 95: (8, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 96: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 93: (11, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 94: (4, 7) AM_AVATAR_MOVE Direction: EAST[Avatar 1] Turn 92: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 97: (2, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 98: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 99: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 100: (11, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 101: (4, 7) AM_AVATAR_MOVE Direction: WEST

[Avatar 4] Turn 102: (8, 9) AM_AVATAR_MOVE Direction: SOUTH[Avatar 5] Turn 103: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 104: (1, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 1] Turn 106: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 110: (4, 9) AM_AVATAR_MOVE Direction: NULL


[Avatar 2] Turn 107: (11, 5) AM_AVATAR_MOVE Direction: SOUTH[Avatar 0] Turn 105: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 3] Turn 108: (4, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 109: (8, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 111: (1, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 1] Turn 113: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 114: (11, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 112: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 117: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 116: (9, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 115: (4, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 118: (1, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 122: (4, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 124: (4, 9) AM_AVATAR_MOVE Direction: NULL


[Avatar 2] Turn 121: (11, 6) AM_AVATAR_MOVE Direction: SOUTH[Avatar 0] Turn 119: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 1] Turn 120: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 123: (9, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 125: (0, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 126: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 127: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 128: (11, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 129: (3, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 130: (8, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 131: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 132: (0, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 1] Turn 134: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 135: (11, 7) AM_AVATAR_MOVE Direction: SOUTH


[Avatar 4] Turn 137: (8, 8) AM_AVATAR_MOVE Direction: NORTH[Avatar 0] Turn 133: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 138: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 3] Turn 136: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 139: (0, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 140: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 141: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 142: (11, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 143: (3, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 144: (8, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 145: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 146: (0, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 147: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 149: (11, 7) AM_AVATAR_MOVE Direction: NORTH
