joannezhao, 43798, Wed May 28 20:51:58 EDT 2014



Sent AM_AVATAR_READY signal with AvatarID: 5Sent AM_AVATAR_READY signal with AvatarID: 3

Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 4Sent AM_AVATAR_READY signal with AvatarID: 6
Sent AM_AVATAR_READY signal with AvatarID: 1
[Avatar 0] Turn 0: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (18, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (16, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (13, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 5: (3, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 6: (13, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 7: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 8: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 9: (17, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 10: (15, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 12: (2, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 11: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 13: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 14: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 15: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 16: (17, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 17: (15, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 18: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 19: (2, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 20: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 21: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 22: (12, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 23: (17, 18) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 24: (15, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 25: (12, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 26: (2, 13) AM_AVATAR_MOVE Direction: SOUTH
