joannezhao, 37946, Wed May 28 20:52:31 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 4

Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 0

Sent AM_AVATAR_READY signal with AvatarID: 6
Sent AM_AVATAR_READY signal with AvatarID: 2Sent AM_AVATAR_READY signal with AvatarID: 7Sent AM_AVATAR_READY signal with AvatarID: 5
[Avatar 0] Turn 0: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (18, 18) AM_AVATAR_MOVE Direction: WEST

[Avatar 5] Turn 5: (3, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (13, 8) AM_AVATAR_MOVE Direction: WEST[Avatar 3] Turn 3: (16, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 6: (13, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 7: (10, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 8: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 10: (17, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 11: (15, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 12: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 13: (2, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 14: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 15: (10, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 16: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 18: (17, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 19: (15, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 20: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 21: (2, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 22: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 23: (9, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 24: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (12, 9) AM_AVATAR_MOVE Direction: SOUTH
