joannezhao, 58972, Wed May 28 21:03:48 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 4


Sent AM_AVATAR_READY signal with AvatarID: 6
Sent AM_AVATAR_READY signal with AvatarID: 0Sent AM_AVATAR_READY signal with AvatarID: 7Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 2
[Avatar 0] Turn 0: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (15, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 2: (5, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (0, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (16, 16) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 7: (4, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 5: (2, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 6: (14, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 8: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (15, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 10: (4, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 11: (0, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 12: (16, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 13: (1, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 14: (14, 20) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 15: (3, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 16: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (15, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 18: (3, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 19: (0, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 20: (16, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 21: (1, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 22: (14, 20) AM_AVATAR_MOVE Direction: EAST
[Avatar 7] Turn 23: (3, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 24: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (16, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 26: (3, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 27: (0, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 29: (1, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 30: (15, 20) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 28: (15, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 31: (3, 13) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 32: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 33: (16, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 34: (3, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 35: (0, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 36: (15, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 37: (1, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 38: (15, 19) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 39: (3, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 40: (21, 12) AM_AVATAR_MOVE Direction: NULL
