joannezhao, 41983, Wed May 28 21:16:17 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 7
Sent AM_AVATAR_READY signal with AvatarID: 4



Sent AM_AVATAR_READY signal with AvatarID: 8Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 3

Sent AM_AVATAR_READY signal with AvatarID: 2Sent AM_AVATAR_READY signal with AvatarID: 5Sent AM_AVATAR_READY signal with AvatarID: 6[Avatar 0] Turn 0: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 2: (0, 4) AM_AVATAR_MOVE Direction: NORTH


[Avatar 5] Turn 5: (2, 3) AM_AVATAR_MOVE Direction: WEST[Avatar 1] Turn 1: (3, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (3, 4) AM_AVATAR_MOVE Direction: WEST


[Avatar 8] Turn 8: (3, 1) AM_AVATAR_MOVE Direction: WEST[Avatar 3] Turn 3: (2, 2) AM_AVATAR_MOVE Direction: WEST[Avatar 6] Turn 6: (1, 1) AM_AVATAR_MOVE Direction: WEST[Avatar 7] Turn 7: (2, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 9: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 10: (3, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 11: (0, 3) AM_AVATAR_MOVE Direction: NORTH

[Avatar 4] Turn 13: (2, 4) AM_AVATAR_MOVE Direction: WEST[Avatar 3] Turn 12: (1, 2) AM_AVATAR_MOVE Direction: WEST

[Avatar 5] Turn 14: (2, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 16: (1, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 15: (0, 1) AM_AVATAR_MOVE Direction: SOUTH[Avatar 8] Turn 17: (3, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 18: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (3, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 20: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 22: (1, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 25: (1, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 23: (2, 3) AM_AVATAR_MOVE Direction: SOUTH

