joannezhao, 42597, Wed May 28 20:53:04 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 2

Sent AM_AVATAR_READY signal with AvatarID: 3Sent AM_AVATAR_READY signal with AvatarID: 8



Sent AM_AVATAR_READY signal with AvatarID: 0Sent AM_AVATAR_READY signal with AvatarID: 7Sent AM_AVATAR_READY signal with AvatarID: 6
Sent AM_AVATAR_READY signal with AvatarID: 4Sent AM_AVATAR_READY signal with AvatarID: 5
[Avatar 0] Turn 0: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (18, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (16, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (13, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 5: (3, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 7: (10, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 6: (13, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 8: (7, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 9: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 10: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 11: (17, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 12: (15, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 13: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 14: (2, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 15: (12, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 16: (10, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 17: (7, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 18: (8, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (12, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 20: (17, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 21: (15, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 24: (12, 9) AM_AVATAR_MOVE Direction: WEST

[Avatar 4] Turn 22: (12, 9) AM_AVATAR_MOVE Direction: WEST[Avatar 5] Turn 23: (2, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 25: (9, 14) AM_AVATAR_MOVE Direction: NORTH
