joannezhao, 58510, Wed May 28 21:05:37 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 7
Sent AM_AVATAR_READY signal with AvatarID: 2


Sent AM_AVATAR_READY signal with AvatarID: 6Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 3Sent AM_AVATAR_READY signal with AvatarID: 4

Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 8Sent AM_AVATAR_READY signal with AvatarID: 5
[Avatar 0] Turn 0: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (15, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 2: (5, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 5: (2, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (0, 6) AM_AVATAR_MOVE Direction: WEST


[Avatar 6] Turn 6: (14, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 7: (4, 13) AM_AVATAR_MOVE Direction: WEST[Avatar 8] Turn 8: (5, 18) AM_AVATAR_MOVE Direction: WEST[Avatar 4] Turn 4: (16, 16) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 9: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 10: (15, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 11: (4, 23) AM_AVATAR_MOVE Direction: WEST

[Avatar 3] Turn 12: (0, 6) AM_AVATAR_MOVE Direction: SOUTH[Avatar 4] Turn 13: (16, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 14: (1, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 15: (14, 20) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 16: (3, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 17: (5, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 18: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (15, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 20: (3, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 21: (0, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 22: (16, 15) AM_AVATAR_MOVE Direction: WEST


[Avatar 7] Turn 25: (3, 13) AM_AVATAR_MOVE Direction: NORTH[Avatar 6] Turn 24: (14, 20) AM_AVATAR_MOVE Direction: EAST[Avatar 5] Turn 23: (1, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 8] Turn 26: (5, 17) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 27: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 28: (16, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 29: (3, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 30: (0, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 31: (15, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 32: (1, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 33: (15, 20) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 34: (3, 13) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 8] Turn 35: (5, 17) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 36: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (16, 5) AM_AVATAR_MOVE Direction: EAST

[Avatar 3] Turn 39: (0, 7) AM_AVATAR_MOVE Direction: EAST[Avatar 2] Turn 38: (3, 22) AM_AVATAR_MOVE Direction: WEST
