joannezhao, 54611, Wed May 28 03:51:50 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 2

Sent AM_AVATAR_READY signal with AvatarID: 0Sent AM_AVATAR_READY signal with AvatarID: 6


Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 4
Sent AM_AVATAR_READY signal with AvatarID: 7
Sent AM_AVATAR_READY signal with AvatarID: 8Sent AM_AVATAR_READY signal with AvatarID: 9Sent AM_AVATAR_READY signal with AvatarID: 3
[Avatar 0] Turn 0: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (21, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (13, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 3: (12, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 4: (25, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 5: (5, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 6: (0, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 7: (24, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 8] Turn 8: (16, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 9] Turn 9: (12, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 10: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (21, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 12: (13, 10) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 13: (12, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 14: (25, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 15: (5, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 16: (0, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 17: (24, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 8] Turn 18: (16, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 9] Turn 19: (12, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 20: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (21, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 22: (12, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 23: (13, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 24: (25, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 25: (5, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 26: (0, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 27: (24, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 28: (16, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 9] Turn 29: (12, 14) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 30: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (21, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 32: (12, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 33: (13, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 34: (25, 15) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 35: (5, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 36: (0, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 37: (23, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 8] Turn 38: (16, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 9] Turn 39: (13, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 40: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 41: (22, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 42: (12, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 43: (14, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 44: (26, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 45: (6, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 47: (23, 15) AM_AVATAR_MOVE Direction: WEST

[Avatar 8] Turn 48: (16, 8) AM_AVATAR_MOVE Direction: EAST[Avatar 6] Turn 46: (0, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 9] Turn 49: (13, 14) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 50: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 51: (22, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 52: (12, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 53: (14, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 55: (6, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 54: (26, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 56: (0, 1) AM_AVATAR_MOVE Direction: NORTH

[Avatar 8] Turn 58: (17, 8) AM_AVATAR_MOVE Direction: NORTH[Avatar 7] Turn 57: (22, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 9] Turn 59: (14, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 60: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 61: (22, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 62: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 63: (14, 21) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 64: (25, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 65: (6, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 66: (0, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 67: (22, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 68: (17, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 9] Turn 69: (14, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 70: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 71: (21, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 72: (11, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 73: (14, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 74: (25, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 75: (6, 10) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 76: (0, 0) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 77: (21, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 8] Turn 78: (16, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 9] Turn 79: (14, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 80: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 81: (20, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 82: (11, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 83: (13, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 84: (25, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 85: (6, 10) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 86: (0, 0) AM_AVATAR_MOVE Direction: EAST
[Avatar 7] Turn 87: (21, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 8] Turn 88: (16, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 9] Turn 89: (13, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 90: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 91: (20, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 92: (10, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 93: (13, 22) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 94: (25, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 95: (6, 11) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 96: (1, 0) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 97: (21, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 8] Turn 98: (16, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 9] Turn 99: (13, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 100: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 101: (20, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 102: (10, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 103: (13, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 104: (25, 13) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 105: (7, 11) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 106: (1, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 107: (21, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 108: (16, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 9] Turn 109: (12, 13) AM_AVATAR_MOVE Direction: NORTH
