joannezhao, 54002, Wed May 28 05:34:57 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 0
[Avatar 0] Turn 0: (16, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (27, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (30, 34) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 3: (16, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 4: (26, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 5: (30, 34) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 6: (16, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (25, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 8: (29, 34) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 9: (16, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 10: (25, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 11: (29, 34) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 12: (16, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (25, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 14: (29, 34) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 15: (16, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 16: (25, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 17: (29, 35) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 18: (16, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (24, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 20: (28, 35) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 21: (16, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 22: (24, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 23: (28, 35) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 24: (16, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (24, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 26: (27, 35) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 27: (16, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 28: (24, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 29: (27, 35) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 30: (16, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (24, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 32: (27, 35) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 33: (16, 2) AM_AVATAR_MOVE Direction: NULL
