joannezhao, 58380, Wed May 28 04:20:28 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 1

Sent AM_AVATAR_READY signal with AvatarID: 3Sent AM_AVATAR_READY signal with AvatarID: 4
[Avatar 0] Turn 0: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (27, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (33, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (19, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 4: (24, 32) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 5: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 6: (26, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 7: (33, 15) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 8: (19, 1) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 9: (24, 31) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 10: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (25, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 12: (33, 16) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 13: (20, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 14: (24, 31) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 15: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 16: (25, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 17: (32, 16) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 18: (20, 1) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 19: (23, 31) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 20: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (25, 23) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 22: (31, 16) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 23: (21, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 24: (23, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 25: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 26: (25, 23) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 27: (30, 16) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 28: (21, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 29: (23, 30) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 30: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (26, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 32: (30, 16) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 33: (21, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 34: (23, 30) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 35: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 36: (26, 23) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 37: (30, 17) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 38: (21, 2) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 39: (24, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 40: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 41: (26, 23) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 42: (29, 17) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 43: (22, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 44: (24, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 45: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 46: (27, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 47: (29, 17) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 48: (22, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 49: (24, 29) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 50: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 52: (29, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 1] Turn 51: (27, 23) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 53: (22, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 54: (24, 29) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 55: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 56: (27, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 57: (28, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 58: (21, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 59: (25, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 60: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 61: (27, 24) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 62: (28, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 63: (21, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 64: (25, 29) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 65: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 66: (27, 24) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 67: (28, 18) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 68: (21, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 69: (26, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 70: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 71: (28, 24) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 72: (28, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 73: (22, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 74: (26, 29) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 75: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 76: (28, 24) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 77: (27, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 78: (22, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 79: (27, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 80: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 81: (28, 24) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 82: (27, 19) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 83: (22, 2) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 84: (27, 29) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 85: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 86: (28, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 87: (27, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 88: (22, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 89: (28, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 90: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 91: (27, 24) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 92: (26, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 93: (22, 1) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 94: (28, 29) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 95: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 96: (27, 23) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 97: (26, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 98: (23, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 99: (28, 29) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 100: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 101: (28, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 102: (26, 18) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 103: (23, 1) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 104: (28, 29) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 105: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 106: (28, 23) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 107: (26, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 108: (24, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 109: (27, 29) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 110: (19, 18) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 111: (29, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 112: (25, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 113: (24, 2) AM_AVATAR_MOVE Direction: SOUTH
