joannezhao, 46132, Wed May 28 06:00:38 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 2

Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 3Sent AM_AVATAR_READY signal with AvatarID: 4
Sent AM_AVATAR_READY signal with AvatarID: 1
[Avatar 0] Turn 0: (29, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (12, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 2: (26, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 3: (3, 38) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 4: (20, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 5: (29, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 6: (12, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 7: (26, 15) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 8: (3, 37) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 9: (20, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 10: (29, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (12, 28) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 12: (27, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 13: (3, 36) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 14: (20, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 15: (29, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 16: (12, 27) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 17: (27, 15) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 18: (3, 35) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 19: (20, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 20: (29, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (12, 26) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 22: (28, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 23: (3, 34) AM_AVATAR_MOVE Direction: NORTH
