joannezhao, 33503, Wed May 28 03:36:03 EDT 2014



Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 4
Sent AM_AVATAR_READY signal with AvatarID: 2
[Avatar 0] Turn 0: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (21, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (13, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 3: (12, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 4: (25, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 5: (5, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 6: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (21, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 8: (13, 10) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 9: (12, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 10: (25, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 11: (5, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 12: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (21, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 14: (12, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 15: (13, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 16: (25, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 17: (5, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 18: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (21, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 20: (12, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 21: (13, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 22: (25, 15) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 23: (5, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 24: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (22, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 26: (12, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 28: (26, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 27: (14, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 29: (6, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 30: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (22, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 32: (12, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 33: (14, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 34: (26, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 35: (6, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 36: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (22, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 38: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 39: (14, 21) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 40: (25, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 41: (6, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 42: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 43: (21, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 44: (11, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 45: (14, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 46: (25, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 47: (6, 10) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 48: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 49: (20, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 50: (11, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 51: (13, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 52: (25, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 53: (6, 10) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 54: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 55: (20, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 56: (10, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 57: (13, 22) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 58: (25, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 59: (6, 11) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 60: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 61: (20, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 62: (10, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 63: (13, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 64: (25, 13) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 65: (7, 11) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 66: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 67: (20, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 68: (10, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 69: (13, 23) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 70: (26, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 71: (7, 11) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 72: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 73: (21, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 74: (11, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 75: (13, 23) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 76: (26, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 77: (7, 11) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 78: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 79: (21, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 80: (11, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 81: (13, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 82: (26, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 83: (7, 12) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 84: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 85: (20, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 86: (11, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 87: (13, 24) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 88: (26, 11) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 89: (7, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 90: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 91: (19, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 92: (11, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 93: (13, 24) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 94: (26, 11) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 95: (6, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 96: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 97: (18, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 98: (11, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 99: (13, 25) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 100: (26, 10) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 101: (6, 12) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 102: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 103: (18, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 105: (12, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 104: (11, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 106: (26, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 107: (6, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 108: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 109: (18, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 110: (12, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 111: (12, 25) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 112: (26, 9) AM_AVATAR_MOVE Direction: WEST
