joannezhao, 34021, Wed May 28 04:25:52 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 2



Sent AM_AVATAR_READY signal with AvatarID: 3Sent AM_AVATAR_READY signal with AvatarID: 4Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 5
[Avatar 0] Turn 0: (3, 30) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (9, 28) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (1, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 3: (14, 30) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (34, 25) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 5: (17, 33) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 6: (3, 30) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (9, 28) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 8: (1, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 9: (13, 30) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 10: (33, 25) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 11: (17, 33) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 12: (3, 30) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (9, 29) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 14: (1, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 15: (12, 30) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 16: (33, 25) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 17: (17, 33) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 18: (3, 30) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (9, 29) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 20: (1, 5) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 21: (11, 30) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 22: (33, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 23: (17, 34) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 24: (3, 30) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (9, 30) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 26: (1, 4) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 27: (11, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 28: (33, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 29: (17, 34) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 30: (3, 30) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (9, 30) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 32: (2, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 33: (11, 30) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 34: (32, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 35: (17, 34) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 36: (3, 30) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (9, 30) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 38: (2, 4) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 39: (11, 31) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 40: (32, 24) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 41: (18, 34) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 42: (3, 30) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 43: (10, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 44: (2, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 45: (10, 31) AM_AVATAR_MOVE Direction: WEST
