joannezhao, 36718, Wed May 28 03:39:35 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 6


Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 2Sent AM_AVATAR_READY signal with AvatarID: 4
[Avatar 0] Turn 0: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (21, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (13, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 3: (12, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 4: (25, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 5: (5, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 6: (0, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 7: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 8: (21, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 9: (13, 10) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 10: (12, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 11: (25, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 12: (5, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 13: (0, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 14: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 15: (21, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 16: (12, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 17: (13, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 18: (25, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 19: (5, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 20: (0, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 21: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 22: (21, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 23: (12, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 24: (13, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 25: (25, 15) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 26: (5, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 27: (0, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 28: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 29: (22, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 30: (12, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 31: (14, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 32: (26, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 33: (6, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 34: (0, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 35: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 36: (22, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 37: (12, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 38: (14, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 39: (26, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 40: (6, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 41: (0, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 42: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 43: (22, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 44: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 45: (14, 21) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 46: (25, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 47: (6, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 48: (0, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 49: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 50: (21, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 51: (11, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 52: (14, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 53: (25, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 54: (6, 10) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 55: (0, 0) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 56: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 57: (20, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 58: (11, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 59: (13, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 60: (25, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 61: (6, 10) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 62: (0, 0) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 63: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 64: (20, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 65: (10, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 66: (13, 22) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 67: (25, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 68: (6, 11) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 69: (1, 0) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 70: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 71: (20, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 72: (10, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 73: (13, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 74: (25, 13) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 75: (7, 11) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 76: (1, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 77: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 78: (20, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 79: (10, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 80: (13, 23) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 81: (26, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 82: (7, 11) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 83: (1, 1) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 84: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 85: (21, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 86: (11, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 87: (13, 23) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 88: (26, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 89: (7, 11) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 90: (2, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 91: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 92: (21, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 93: (11, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 94: (13, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 95: (26, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 96: (7, 12) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 97: (2, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 98: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 99: (20, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 100: (11, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 101: (13, 24) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 102: (26, 11) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 103: (7, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 104: (2, 1) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 105: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 106: (19, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 107: (11, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 108: (13, 24) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 109: (26, 11) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 110: (6, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 111: (3, 1) AM_AVATAR_MOVE Direction: SOUTH
