joannezhao, 55619, Wed May 28 04:36:19 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 6


Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 4
Sent AM_AVATAR_READY signal with AvatarID: 0Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 3
[Avatar 0] Turn 0: (21, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (11, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (6, 29) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (26, 17) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (28, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 5: (17, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 6: (6, 27) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 7: (21, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 8: (11, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 9: (5, 29) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 10: (26, 17) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 11: (28, 30) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 12: (16, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 13: (5, 27) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 14: (21, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 15: (11, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 16: (4, 29) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 17: (26, 16) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 18: (27, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 19: (16, 12) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 20: (4, 27) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 21: (21, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 22: (11, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 23: (3, 29) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 24: (26, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 25: (27, 30) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 26: (16, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 27: (4, 27) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 28: (21, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 29: (11, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 30: (2, 29) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 31: (26, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 32: (26, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 33: (15, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 34: (4, 26) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 35: (21, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 36: (11, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 37: (2, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 38: (26, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 39: (26, 30) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 40: (15, 13) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 41: (4, 26) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 42: (21, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 43: (11, 12) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 44: (2, 29) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 45: (26, 15) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 46: (25, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 47: (15, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 48: (4, 25) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 49: (21, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 50: (12, 12) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 51: (2, 29) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 52: (27, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 53: (25, 30) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 54: (15, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 55: (4, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 56: (21, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 57: (12, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 58: (3, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 59: (27, 15) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 60: (24, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 61: (15, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 62: (4, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 63: (21, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 64: (12, 11) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 65: (3, 29) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 66: (27, 15) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 67: (24, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 68: (15, 11) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 69: (3, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 70: (21, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 71: (12, 11) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 72: (3, 29) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 73: (28, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 74: (24, 28) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 75: (15, 11) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 76: (3, 24) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 77: (21, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 78: (12, 11) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 79: (4, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 80: (28, 15) AM_AVATAR_MOVE Direction: SOUTH
