joannezhao, 53795, Wed May 28 06:20:07 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 4

Sent AM_AVATAR_READY signal with AvatarID: 5

Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 6Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 2Sent AM_AVATAR_READY signal with AvatarID: 0
[Avatar 0] Turn 0: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (38, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (4, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 3: (22, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (30, 21) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 5: (1, 26) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 6: (21, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 7: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 8: (37, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 9: (4, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 10: (22, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 11: (30, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 12: (1, 26) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 13: (20, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 14: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 15: (37, 6) AM_AVATAR_MOVE Direction: NORTH

[Avatar 3] Turn 17: (22, 3) AM_AVATAR_MOVE Direction: WEST[Avatar 2] Turn 16: (4, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 19: (2, 26) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 18: (30, 21) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 20: (19, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 21: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 22: (37, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 23: (4, 13) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 24: (22, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 25: (30, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 26: (2, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 27: (19, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 28: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 29: (37, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 30: (5, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 31: (22, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 32: (30, 22) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 33: (2, 24) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 34: (19, 14) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 35: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 36: (37, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 38: (23, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 37: (5, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 39: (30, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 40: (2, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 41: (19, 14) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 42: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 43: (37, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 44: (5, 12) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 45: (23, 3) AM_AVATAR_MOVE Direction: NORTH

[Avatar 5] Turn 47: (2, 22) AM_AVATAR_MOVE Direction: NORTH[Avatar 4] Turn 46: (30, 23) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 48: (20, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 49: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 50: (37, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 51: (5, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 52: (23, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 53: (30, 23) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 54: (2, 22) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 55: (20, 14) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 56: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 57: (37, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 58: (4, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 59: (24, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 60: (30, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 61: (3, 22) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 62: (20, 14) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 63: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 65: (4, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 67: (30, 22) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 66: (24, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 68: (3, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 1] Turn 64: (36, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 69: (21, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 70: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 71: (35, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 72: (3, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 74: (30, 22) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 73: (24, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 75: (3, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 76: (21, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 77: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 78: (34, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 79: (3, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 80: (24, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 81: (30, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 82: (4, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 83: (21, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 84: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 85: (34, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 86: (2, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 87: (24, 2) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 88: (31, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 89: (4, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 90: (21, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 91: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 92: (34, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 93: (2, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 94: (25, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 95: (31, 21) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 96: (5, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 97: (21, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 98: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 99: (34, 8) AM_AVATAR_MOVE Direction: NORTH

[Avatar 4] Turn 102: (31, 21) AM_AVATAR_MOVE Direction: EAST[Avatar 2] Turn 100: (1, 12) AM_AVATAR_MOVE Direction: WEST


[Avatar 3] Turn 101: (25, 2) AM_AVATAR_MOVE Direction: NORTH[Avatar 5] Turn 103: (5, 21) AM_AVATAR_MOVE Direction: EAST[Avatar 6] Turn 104: (21, 11) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 105: (8, 5) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 106: (34, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 107: (0, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 108: (25, 1) AM_AVATAR_MOVE Direction: WEST
