joannezhao, 51916, Wed May 28 03:43:51 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 4


Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 0Sent AM_AVATAR_READY signal with AvatarID: 3

Sent AM_AVATAR_READY signal with AvatarID: 7Sent AM_AVATAR_READY signal with AvatarID: 6
[Avatar 0] Turn 0: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (21, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (13, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 3: (12, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 4: (25, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 5: (5, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 7: (24, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 6: (0, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 8: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (21, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 10: (13, 10) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 11: (12, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 12: (25, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 13: (5, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 14: (0, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 15: (24, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 16: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (21, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 18: (12, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 19: (13, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 20: (25, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 21: (5, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 22: (0, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 23: (24, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 24: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (21, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 26: (12, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 27: (13, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 28: (25, 15) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 29: (5, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 30: (0, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 31: (23, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 32: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 33: (22, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 34: (12, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 35: (14, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 36: (26, 15) AM_AVATAR_MOVE Direction: NORTH

[Avatar 5] Turn 37: (6, 9) AM_AVATAR_MOVE Direction: NORTH[Avatar 6] Turn 38: (0, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 39: (23, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 40: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 42: (12, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 1] Turn 41: (22, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 43: (14, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 44: (26, 14) AM_AVATAR_MOVE Direction: WEST

[Avatar 6] Turn 46: (0, 1) AM_AVATAR_MOVE Direction: NORTH[Avatar 5] Turn 45: (6, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 7] Turn 47: (22, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 48: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 49: (22, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 50: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 51: (14, 21) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 52: (25, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 53: (6, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 54: (0, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 55: (22, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 56: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 57: (21, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 58: (11, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 59: (14, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 60: (25, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 61: (6, 10) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 62: (0, 0) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 63: (21, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 64: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 65: (20, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 66: (11, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 67: (13, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 68: (25, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 69: (6, 10) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 70: (0, 0) AM_AVATAR_MOVE Direction: EAST
[Avatar 7] Turn 71: (21, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 72: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 73: (20, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 74: (10, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 75: (13, 22) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 76: (25, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 77: (6, 11) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 78: (1, 0) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 79: (21, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 80: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 81: (20, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 82: (10, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 83: (13, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 84: (25, 13) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 85: (7, 11) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 86: (1, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 87: (21, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 88: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 89: (20, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 90: (10, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 91: (13, 23) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 94: (1, 1) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 93: (7, 11) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 92: (26, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 95: (21, 13) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 96: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 97: (21, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 98: (11, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 99: (13, 23) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 100: (26, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 101: (7, 11) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 102: (2, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 103: (22, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 104: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 105: (21, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 106: (11, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 107: (13, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 108: (26, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 109: (7, 12) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 110: (2, 1) AM_AVATAR_MOVE Direction: NORTH
