joannezhao, 56887, Wed May 28 04:45:06 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 4
Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 6
Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 7
[Avatar 0] Turn 0: (4, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (19, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (8, 20) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 3: (31, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (11, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 5: (8, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 7: (5, 26) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 6: (8, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 8: (4, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (19, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 10: (8, 19) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 11: (30, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 12: (11, 24) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 13: (8, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 14: (8, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 15: (5, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 16: (4, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (19, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 18: (8, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 19: (30, 13) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 20: (11, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 21: (8, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 22: (7, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 23: (5, 25) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 24: (4, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (19, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 26: (8, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 27: (30, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 28: (11, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 29: (7, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 30: (7, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 31: (4, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 32: (4, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 33: (19, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 34: (8, 17) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 35: (29, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 36: (10, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 37: (7, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 38: (7, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 39: (4, 25) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 40: (4, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 41: (20, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 42: (7, 17) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 43: (29, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 44: (10, 22) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 45: (6, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 46: (7, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 7] Turn 47: (3, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 48: (4, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 49: (20, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 50: (7, 17) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 51: (29, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 52: (10, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 53: (6, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 54: (7, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 55: (3, 25) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 56: (4, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 57: (20, 5) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 58: (7, 16) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 59: (28, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 60: (10, 21) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 61: (6, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 62: (7, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 63: (3, 25) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 64: (4, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 65: (20, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 66: (7, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 67: (28, 13) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 68: (9, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 69: (6, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 70: (7, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 71: (3, 26) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 72: (4, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 73: (21, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 74: (7, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 75: (28, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 76: (9, 21) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 77: (6, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 78: (7, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 7] Turn 79: (3, 26) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 80: (4, 14) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 81: (21, 5) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 82: (6, 15) AM_AVATAR_MOVE Direction: WEST
