joannezhao, 44282, Wed May 28 04:57:56 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 7

Sent AM_AVATAR_READY signal with AvatarID: 6

Sent AM_AVATAR_READY signal with AvatarID: 4Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 8
[Avatar 0] Turn 0: (3, 20) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (23, 33) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (15, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 3: (21, 31) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (10, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 5: (8, 0) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 6: (14, 25) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 7: (33, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 8: (13, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 9: (3, 20) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 10: (23, 33) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 11: (15, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 12: (21, 31) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 13: (10, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 14: (8, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 15: (14, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 16: (32, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 17: (13, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 18: (3, 20) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (23, 33) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 20: (15, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 21: (21, 30) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 22: (9, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 23: (8, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 24: (14, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 25: (31, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 26: (13, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 27: (3, 20) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 28: (23, 34) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 29: (16, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 30: (21, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 31: (9, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 32: (7, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 33: (13, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 34: (30, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 35: (14, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 36: (3, 20) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (23, 34) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 38: (16, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 39: (21, 29) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 40: (9, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 41: (7, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 42: (13, 24) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 43: (30, 19) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 8] Turn 44: (14, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 45: (3, 20) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 46: (23, 34) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 47: (16, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 48: (21, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 49: (9, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 50: (6, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 51: (13, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 52: (30, 20) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 53: (14, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 54: (3, 20) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 55: (24, 34) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 56: (15, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 57: (21, 29) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 58: (9, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 59: (6, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 60: (13, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 61: (29, 20) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 62: (14, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 63: (3, 20) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 64: (24, 33) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 65: (15, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 66: (22, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 67: (9, 7) AM_AVATAR_MOVE Direction: WEST
