joannezhao, 52931, Wed May 28 06:38:59 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 7

Sent AM_AVATAR_READY signal with AvatarID: 8Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 6

Sent AM_AVATAR_READY signal with AvatarID: 4
Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 5Sent AM_AVATAR_READY signal with AvatarID: 0
[Avatar 0] Turn 0: (31, 10) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (27, 38) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 2: (1, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (27, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 4: (26, 33) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 5: (17, 21) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 8: (22, 35) AM_AVATAR_MOVE Direction: NORTH

[Avatar 7] Turn 7: (24, 0) AM_AVATAR_MOVE Direction: SOUTH[Avatar 6] Turn 6: (20, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 9: (31, 10) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 10: (27, 37) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 11: (0, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 12: (26, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 15: (19, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 14: (17, 21) AM_AVATAR_MOVE Direction: NORTH

[Avatar 4] Turn 13: (26, 32) AM_AVATAR_MOVE Direction: NORTH[Avatar 7] Turn 16: (24, 0) AM_AVATAR_MOVE Direction: EAST
[Avatar 8] Turn 17: (22, 34) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 18: (31, 10) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (27, 37) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 20: (0, 24) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 21: (26, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 22: (26, 31) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 23: (17, 20) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 24: (18, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 25: (25, 0) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 8] Turn 26: (22, 33) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 27: (31, 10) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 28: (27, 37) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 29: (0, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 30: (26, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 31: (26, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 32: (16, 20) AM_AVATAR_MOVE Direction: WEST

[Avatar 6] Turn 33: (17, 1) AM_AVATAR_MOVE Direction: WEST[Avatar 7] Turn 34: (25, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 8] Turn 35: (22, 33) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 36: (31, 10) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 40: (26, 30) AM_AVATAR_MOVE Direction: EAST

[Avatar 1] Turn 37: (27, 37) AM_AVATAR_MOVE Direction: SOUTH[Avatar 3] Turn 39: (26, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 41: (16, 20) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 38: (0, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 42: (16, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 7] Turn 43: (25, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 8] Turn 44: (23, 33) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 45: (31, 10) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 46: (27, 38) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 47: (0, 23) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 48: (26, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 49: (27, 30) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 50: (16, 20) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 51: (16, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 52: (25, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 8] Turn 53: (23, 33) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 54: (31, 10) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 55: (27, 38) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 56: (1, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 57: (25, 12) AM_AVATAR_MOVE Direction: WEST
